"country","state","count"
AE,Dubayy,7
AE,Abu Zaby,1
AE,Ash Shariqah,3
AE,Ra's al Khaymah,23
AE,'Ajman,1
AE,Al Fujayrah,1
AF,Kabul,1
AF,Herat,1
AM,Armavir,9
AR,Ciudad Autonoma de Buenos Aires,2
AT,Steiermark,2
AT,Tirol,2
AT,Karnten,10
AT,Niederosterreich,9
AU,Queensland,6
AU,Victoria,54
AU,New South Wales,59
AU,Western Australia,54
BD,Dhaka,31
BD,Khulna,10
BE,Brussels Hoofdstedelijk Gewest,5
BG,Sofia (stolitsa),5
BH,Al Muharraq,2
BR,Sao Paulo,9
BR,Pernambuco,3
BR,Goias,2
BR,Minas Gerais,11
BR,Bahia,10
BY,Minskaya voblasts',15
CA,Alberta,17
CA,Nova Scotia,1
CA,Quebec,20
CA,Ontario,117
CA,British Columbia,18
CA,Saskatchewan,4
CF,Ouham,1
CH,Zurich,13
CH,Geneve,1
CH,Sankt Gallen,5
CH,Bern,2
CL,Region Metropolitana de Santiago,9
CM,Littoral,2
CN,Sichuan,1
CR,Heredia,16
CY,Lemesos,1
DE,Hessen,10
DE,Berlin,24
DE,Rheinland-Pfalz,6
DE,Baden-Wurttemberg,11
DE,Schleswig-Holstein,5
DE,Sachsen-Anhalt,1
DE,Bayern,24
DE,Nordrhein-Westfalen,2
DE,Brandenburg,11
DO,La Altagracia,9
DZ,Bordj Bou Arreridj,1
EE,Harjumaa,4
EG,Al Bahr al Ahmar,2
EG,Al Isma'iliyah,2
EG,Al Qahirah,13
EG,Ad Daqahliyah,10
EG,Al Jizah,26
EG,Dumyat,30
EG,Al Qalyubiyah,8
ES,Illes Balears,1
ES,"Madrid, Comunidad de",10
ES,Aragon,1
ES,Pais Vasco,4
ES,"Valenciana, Comunidad",15
ES,Canarias,9
ES,"Asturias, Principado de",1
ES,Andalucia,2
ES,Castilla-La Mancha,1
ES,Catalunya,31
ET,Addis Ababa,1
FI,Paijat-Hame,1
FI,Uusimaa,21
FR,Auvergne-Rhone-Alpes,3
FR,Nouvelle-Aquitaine,14
FR,Grand-Est,3
FR,Ile-de-France,53
FR,Occitanie,1
FR,Provence-Alpes-Cote-d'Azur,7
FR,Bretagne,2
FR,Hauts-de-France,8
GB,Wales,1
GB,Scotland,31
GB,England,84
GH,Ashanti,1
GH,Greater Accra,16
GR,Kriti,2
GR,Attiki,26
GR,Dytiki Makedonia,5
GR,Kentriki Makedonia,4
GR,Sterea Ellada,1
GT,Guatemala,4
GY,Mahaica-Berbice,2
HK,Hong Kong,13
HR,Grad Zagreb,2
HR,Medimurska zupanija,1
HR,Sibensko-kninska zupanija,3
